640935.18,651440.64,616860.31,675437.36,672888.45,611425.35,675822.08,652125.43,653852.49,661104.05,628268.87,631436.34,632934.91,647447.58,602130.56,639082.62,682957.22,621748.99,643419.02,618742.56,660647.98,650211.27,631070.66,621421.98,669291.30,668628.41,613738.40,628726.93,605476.84,645842.65,669195.82,653681.50,662706.46,623804.66,650384.57,620718.07,663104.78,672430.75,650340.72,648765.36
692092.69,692887.56,662207.13,733135.39,736143.89,664806.19,721493.77,709529.28,714547.83,729626.43,684104.17,683759.28,691335.21,713793.01,658549.23,692653.87,740411.45,670529.01,709275.68,678066.19,709960.98,700669.62,686052.50,681559.33,731677.50,726553.28,672139.46,682801.10,650034.93,701841.02,711733.47,702630.01,720583.86,663367.60,704007.84,678210.04,715282.37,715879.47,707557.51,695075.78
656861.87,664356.98,643489.18,697101.62,703829.59,624577.04,690353.02,675999.26,683817.07,696217.90,655348.25,654439.07,664142.35,676711.36,625192.94,666734.60,710359.19,645012.94,672122.59,646066.66,674453.39,661711.57,653662.44,645139.78,691453.21,692125.09,645671.27,647458.62,626578.17,675643.42,689397.15,675095.44,688081.65,641836.47,668177.13,650598.60,678635.78,684184.44,669447.75,664335.82
677064.99,674648.83,641636.18,708742.46,700789.90,639733.67,697727.22,686144.08,687244.87,705256.63,661102.34,666434.39,669098.19,689353.04,630643.25,687973.53,721439.71,649630.79,683749.17,652343.86,681766.38,676874.86,670709.51,652763.13,696288.43,704273.26,648106.18,662558.33,629268.78,681369.08,696423.59,679830.57,696620.84,652334.97,670051.40,660280.36,690732.70,709974.19,676544.45,659776.22
678616.25,681763.16,663627.19,722126.59,726177.90,647774.73,699251.05,693093.09,693164.51,705709.35,667621.50,681247.56,684744.48,700928.26,647412.18,684823.41,725499.36,653080.80,682890.82,659366.20,702445.82,690121.51,669506.31,667338.85,702947.08,705197.71,655395.87,676940.10,636991.46,675671.02,701208.20,698551.31,705707.02,652218.05,692515.59,673252.46,709898.94,708526.55,689356.59,694205.78
673421.70,683901.55,655833.14,714892.71,708721.96,649648.67,706660.49,688748.71,695141.35,699973.00,669539.19,683763.53,679055.36,689777.84,641069.63,682186.02,734124.60,663222.12,684887.35,652680.71,701334.23,700340.79,671459.31,666370.65,712043.99,710919.77,651347.08,679087.76,628790.57,677560.69,699829.97,694250.64,710411.82,664146.81,688769.75,664697.92,710390.22,708825.24,694481.02,681856.19
634049.78,644363.00,614775.02,673430.31,676787.35,613105.05,663641.47,656439.35,647173.09,652794.25,620858.19,635910.23,636690.31,648561.53,598696.48,639680.57,683339.45,615961.29,641253.06,622267.64,653887.79,649101.33,625533.26,621881.48,665143.61,667464.86,613418.45,627085.36,601960.40,636278.58,660270.18,649938.12,658131.97,618723.64,641297.90,624887.46,659414.82,666561.84,638226.74,645651.69
666386.10,675253.38,655391.32,711278.52,717519.93,645563.98,704663.55,688787.30,686121.21,704905.68,670581.00,681365.53,678864.47,689360.30,643452.16,670066.42,727803.46,660363.27,679368.37,653448.42,698043.90,685259.53,660983.14,664365.44,714668.71,709117.03,648515.53,668881.46,636207.95,680765.95,695026.96,696346.78,700957.66,651461.33,686062.76,670426.51,710633.85,696730.64,680945.55,684259.88
677038.95,682798.29,659459.23,716579.33,716538.18,652400.72,711313.98,690465.93,704233.02,712714.52,674351.98,684943.79,676575.12,697323.56,653161.67,678260.83,731067.42,661137.78,689025.81,660876.13,696528.06,694367.51,673185.21,668092.14,719326.15,720068.42,653701.62,675214.72,643884.28,688201.26,709997.16,696376.07,709782.63,656702.54,693385.97,674168.01,713822.66,710562.70,692904.44,686409.71
668976.52,668941.86,643410.53,701186.25,705229.56,629928.97,699939.61,675330.80,693494.13,705318.59,662816.93,662643.95,657484.59,679937.65,634998.33,674921.34,722222.37,652355.99,678068.49,646691.82,680786.82,668351.67,659525.36,653372.06,701146.55,702591.86,647990.16,654047.98,628948.11,682870.79,697783.62,676738.19,696008.33,640347.14,671234.86,651971.83,687580.57,698449.63,674778.83,666463.80
666730.58,668436.50,652069.06,698773.45,703616.85,635639.06,693602.52,669940.10,676400.99,695365.89,659026.18,670956.49,662587.98,678417.51,639262.49,668544.44,717231.15,644160.57,668463.32,642756.22,690236.82,671355.41,654623.71,657309.11,699902.31,701776.70,643264.11,654910.13,624221.39,669763.05,694010.37,680981.63,692216.35,643386.86,683868.69,656812.54,695576.62,691129.67,671966.51,674709.55
