10,10
100.125,156.359,119.33,180.874,158.501,147.987,135.029,189.596,182.284,174.66
117.411,185.894,171.05,151.353,130.399,101.498,109.14,136.445,114.731,116.59
198.853,144.569,111.908,100.467,100.891,137.788,153.166,157.118,160.176,160.717
116.623,166.305,145.079,135.212,105.704,160.768,178.332,180.261,151.988,130.195
187.597,172.668,195.59,192.572,153.935,114.234,146.208,123.533,186.224,120.96
177.966,184.365,199.68,199.969,161.15,139.244,126.621,129.728,184.014,102.374
137.587,109.262,167.721,105.622,100.879,191.879,127.589,127.29,158.791,169.118
183.761,172.649,148.494,120.536,174.374,146.846,145.796,194.916,174.444,110.828
159.905,138.524,173.501,160.897,157.241,136.134,115.155,122.51,142.515,180.288
151.711,198.999,175.155,134.556,116.898,165.731,149.19,106.354,169.976,150.481
10,10
114.75,194.958,114.158,190.512,169.289,130.305,142.656,107.038,196.661,168.319
115.323,187.725,182.168,158.205,119.135,117.789,181.719,147.526,115.555,150.392
173.202,140.559,127.958,156.874,168.224,175.585,172.192,147.53,112.302,136.781
183.468,103.51,151.701,166.298,142.622,110.468,194.934,192.138,154.955,134.599
147.172,137.498,184.698,131.687,145.61,127.189,198.297,129.78,173.919,156.728
119.599,176.131,183.944,139.766,150.09,189.016,102.747,199.463,157.259,105.051
153.133,119.407,184.304,162.676,165.761,119.785,184.216,112.333,110.993,174.313
131.407,194.107,128.608,133.631,114.026,173.309,183.462,170.8,160.024,174.722
125.272,114.447,100.162,106.101,180.624,185.263,121.058,111.56,155.321,101.425
111.377,145.451,175.222,168.615,154.344,107.389,143.672,120.194,169.622,129.035
