212279.75,231418.15,237249.96,230259.31,230623.38,222089.19,251957.34,225109.81,233291.59,219112.66
185636.33,202908.64,204453.02,202958.02,198972.66,190215.42,221551.12,193853.22,197418.26,192132.71
190700.24,220672.17,215217.06,217568.85,216454.43,205075.17,227178.22,200230.88,217445.76,205464.38
201817.33,223810.04,225867.10,221340.42,220429.37,213769.48,238703.21,213611.39,217393.71,210936.12
222387.11,238042.01,239236.57,242447.61,242884.24,227982.92,261138.74,227009.19,238825.64,227909.07
224217.15,241005.21,241555.18,243053.85,243386.49,231608.02,262627.48,232030.86,240398.11,228406.05
189604.31,212223.46,212445.74,210605.45,213523.19,205937.44,219048.38,201364.02,210485.95,195124.25
214192.68,242753.53,237764.01,236109.50,236286.50,229069.12,255978.44,224578.28,238129.97,227650.21
204983.01,223882.34,227025.59,226711.49,225661.45,211911.63,241235.65,213052.19,225728.34,211277.50
207282.22,230544.71,233038.09,230686.37,230727.34,218974.37,243595.06,217492.19,225248.79,214509.35
